1#IMÓVEL VAGO#1
2#EMITIR TCU#2
3#IMÓVEL DISTRIBUIDO#3
4#REGULARIZACAO TERRACAP#4
5#IMÓVEL INTERDITADO#5
6#IMÓVEL RESERVADO#6
7#IMÓVEL RETOMADO (EM PROCESSO)#7
8#FIXACAO SHB Q 02 - SOBRADINHO II#8
9#IMÓVEL INVADIDO#9
12#IMÓVEL SUB JUDICE#10
19#LEI 2.731/01-DECRETO 23.592/03 (COMREG).#11
34#CADASTRAMENTO EM DEPURAÇÃO#12
