Diretor Presidente;true
Secretário Executivo;true
Procurador Chefe;true
Auditor Chefe;true
Chefe da Assessoria;true
Diretor;true
Gerente;true
Chefe de Núcleo;true
Assessor Master;true
Assessor Sênior;true
Assessor Pleno;true
Assessor;true
Assessor Júnior I;true
Assessor Júnior II;true
Estagiário;true
Colaborador;true
FUNAP;true
Motorista;true
