AQUISICAO DE GENERO ALIMENTICIO;Migração;true
AQUISIÇÃO IMOVEL;Migração;true
AQUISICAO MATERIAL AGRICOLA;Migração;true
APURACAO DE FATOS;Migração;true
AQUISICAO MATERIAL BORRACHARIA;Migração;true
ABERTURA CONTRATO;Migração;true
AQUISICAO MATERIAL CONSERVACAO;Migração;true
AQUISICAO MATERIAL CONSTRUCAO;Migração;true
AQUISIÇÃO MATERIAL CONSUMO;Migração;true
CARTA HABITE-SE;Migração;true
ALVARA CONSTRUCAO;Migração;true
AQUISICAO MATERIAL DECORACAO;Migração;true
AQUISICAO MATERIAL DESENHO;Migração;true
AQUISICAO MATERIAL ELETRICO;Migração;true
AQUISICAO MATERIAL ESCOLAR;Migração;true
AQUISICAO MATERIAL ESCRITORIO;Migração;true
AQUISICAO MATERIAL ESPORTIVO;Migração;true
AQUISICAO MATERIAL FESTA;Migração;true
AQUISICAO MATERIAL FOTOGRAFICO;Migração;true
AQUISICAO MATERIAL HIDRAULICO;Migração;true
AQUISICAO MATERIAL AUDIOVISUAL;Migração;true
APROVACAO PROJETO;Migração;true
AQUISICAO MATERIAL IMPORTADO;Migração;true
AQUISICAO MATERIAL INFORMATICA;Migração;true
AQUISICAO MATERIAL INSETICIDA;Migração;true
AQUISICAO MATERIAL LABORATORIO;Migração;true
AQUISICAO MATERIAL LIMPEZA;Migração;true
AQUISICAO MATERIAL MARCENARIA;Migração;true
AQUISICAO MATERIAL MANUTENCAO;Migração;true
AQUISICAO EQUIPAMENTO SOM;Migração;true
PROJETO INCIAL;Migração;true
AQUISICAO MATERIAL ORNAMENTAL;Migração;true
AQUISICAO MATERIAL PINTURA;Migração;true
AQUISICAO MATERIAL PISCINA;Migração;true
AQUISICAO MATERIAL PREMIACAO;Migração;true
AQUISICAO MATERIAL PROMOCIONAL;Migração;true
AQUISICAO MATERIAL RECICLADO;Migração;true
PROJETO ACRESCIMO;Migração;true
INCLUIR NO PROGRAMA DE MORADIA;Migração;true
AQUISICAO MATERIAL SEGURANCA;Migração;true
AQUISICAO MATERIAL SOM;Migração;true
AQUISICAO MATERIAL SINALIZACAO;Migração;true
AQUISICAO TACOMETRO;Migração;true
AQUISIÇÃO AREA;Migração;true
ARRENDAMENTO AREA AGRICOLA;Migração;true
ARRENDAMENTO AREA RURAL;Migração;true
ASCENSAO FUNCIONAL;Migração;true
ASSISTENCIA FAMILIAR;Migração;true
ASSISTENCIA JURIDICA;Migração;true
ASSISTENCIA MEDICA000;Migração;true
ASSISTENCIA SOCIAL;Migração;true
ASSISTENCIA TECNICA;Migração;true
ATESTADO EXECUCAO;Migração;true
ATESTADO MEDICO;Migração;true
ATESTADO REGULARIDADE IMOVEL;Migração;true
ATIVIDADE ESCOLAR;Migração;true
