1635440000188#NÃO CREDENCIADA
3738919000175#CREDENCIADA
6992426000155#NÃO CREDENCIADA
6112716000167#NÃO CREDENCIADA
4102352000109#CREDENCIADA
7840746000152#NÃO CREDENCIADA
7341924000109#NÃO CREDENCIADA
10909031000113#NÃO CREDENCIADA
6299516000165#CREDENCIADA
21128557000182#NÃO CREDENCIADA
7259590000110#NÃO CREDENCIADA
7387857000236#CREDENCIADA
3772580000123#NÃO CREDENCIADA
5651346000173#NÃO CREDENCIADA
8174871000133#NÃO CREDENCIADA
8154012000182#NÃO CREDENCIADA
7965129000183#NÃO CREDENCIADA
8144307000178#NÃO CREDENCIADA
3941066000174#NÃO CREDENCIADA
7306420000140#NÃO CREDENCIADA
7840757000132#NÃO CREDENCIADA
7935619000137#NÃO CREDENCIADA
7221974000144#NÃO CREDENCIADA
2561231000108#NÃO CREDENCIADA
10401343000111#NÃO CREDENCIADA
4961914000170#NÃO CREDENCIADA
37100443000164#NÃO CREDENCIADA
3940849000133#NÃO CREDENCIADA
8015417000130#NÃO CREDENCIADA
28575413000113#NÃO CREDENCIADA
6072958000174#CREDENCIADA
14300673000171#NÃO CREDENCIADA
7601535000167#CREDENCIADA
6317687000170#NÃO CREDENCIADA
5058841000173#NÃO CREDENCIADA
7275741000124#NÃO CREDENCIADA
22899343000172#NÃO CREDENCIADA
17512994000128#NÃO CREDENCIADA
36862910000120#NÃO CREDENCIADA
2429464000143#CREDENCIADA
10651516000150#NÃO CREDENCIADA
1720051000150#NÃO CREDENCIADA
7275655000111#NÃO CREDENCIADA
4691988000133#NÃO CREDENCIADA
7176958000187#NÃO CREDENCIADA
1718899000145#NÃO CREDENCIADA
7259511000171#CREDENCIADA
4116295000117#CREDENCIADA
442804000140#NÃO CREDENCIADA
37112786000149#NÃO CREDENCIADA
3862633000105#NÃO CREDENCIADA
2239425000183#NÃO CREDENCIADA
7579442000183#NÃO CREDENCIADA
7277459000186#CREDENCIADA
11724807000193#NÃO CREDENCIADA
2519512000194#CREDENCIADA
1973619000145#CREDENCIADA
4400774000160#CREDENCIADA
8289792000178#NÃO CREDENCIADA
13721271000188#NÃO CREDENCIADA
4033669000130#NÃO CREDENCIADA
7361220000190#CREDENCIADA
1379405000145#CREDENCIADA
7754155000162#NÃO CREDENCIADA
8718559000163#NÃO CREDENCIADA
15335330000105#NÃO CREDENCIADA
1172705000159#NÃO CREDENCIADA
7176976000169#NÃO CREDENCIADA
17263662000157#CREDENCIADA
7281059000144#CREDENCIADA
9399200000133#NÃO CREDENCIADA
7026378000103#CREDENCIADA
1635507000184#CREDENCIADA
26444083000100#CREDENCIADA
4059159000132#NÃO CREDENCIADA
2073937000112#NÃO CREDENCIADA
7263328000140#CREDENCIADA
7277468000177#NÃO CREDENCIADA
7263425000132#NÃO CREDENCIADA
6945973000180#CREDENCIADA
6346741000105#NÃO CREDENCIADA
22580925000191#NÃO CREDENCIADA
7387857000155#NÃO CREDENCIADA
4143176000153#NÃO CREDENCIADA
11303650000122#CREDENCIADA
7278355000196#NÃO CREDENCIADA
6945977000168#CREDENCIADA
2525127000150#NÃO CREDENCIADA
7025807000128#NÃO CREDENCIADA
6326591000178#NÃO CREDENCIADA
7315942000108#NÃO CREDENCIADA
7367611000111#CREDENCIADA
3853226000123#CREDENCIADA
7690727000197#NÃO CREDENCIADA
7340061000147#CREDENCIADA
7286182000158#CREDENCIADA
1716752000116#CREDENCIADA
3675018000181#NÃO CREDENCIADA
10341710000139#NÃO CREDENCIADA
4627298000115#CREDENCIADA
1332136000161#CREDENCIADA
15486497000177#CREDENCIADA
2011578000179#CREDENCIADA
7485744000192#NÃO CREDENCIADA
2511425000190#CREDENCIADA
4797706000187#CREDENCIADA
0#NÃO CREDENCIADA
3812352000130#NÃO CREDENCIADA
3984621000145#CREDENCIADA
2034599000100#NÃO CREDENCIADA
8998297000138#CREDENCIADA
7746490000119#NÃO CREDENCIADA
6179614000169#CREDENCIADA
8962407000101#CREDENCIADA
2611186000140#CREDENCIADA
6264705000100#CREDENCIADA
4212567000182#NÃO CREDENCIADA
2932991000176#NÃO CREDENCIADA
20127776000184#NÃO CREDENCIADA
11385492000105#NÃO CREDENCIADA
1761666000125#NÃO CREDENCIADA
7329973000118#NÃO CREDENCIADA
7431361000131#NÃO CREDENCIADA
3979972000168#NÃO CREDENCIADA
9446638000125#NÃO CREDENCIADA
3581012000145#NÃO CREDENCIADA
4113280000103#NÃO CREDENCIADA
